word,sentence,answer,user_language,definition_fr,etymology,tense
chercher,Ma sœur _____ ses clés partout dans la maison ce matin.,cherchait,chercher,Chercher signifie essayer de trouver quelque chose ou quelqu'un. C'est entreprendre des efforts pour localiser ou découvrir ce qui est perdu ou caché.,"Du latin circare, signifiant « tourner autour », dérivé de circus « cercle ».",imparfait
cheval,Marie monte un _____ dans la campagne chaque dimanche.,cheval,cheval,"Animal domestique à quatre pattes, utilisé historiquement pour le transport et l'agriculture. C'est un mammifère herbivore de grande taille.","Latin caballus, emprunté au gaulois caballos.",présent
cheveu,Elle a perdu un _____ en brossant ses cheveux ce matin.,cheveu,cheveu,Filament fin qui pousse sur la peau du crâne humain. C'est l'unité singulière de ce qu'on appelle communément les cheveux.,"Du latin capillus, de même sens.",passé composé
chicago,Ma sœur a visité _____ l'année dernière et elle a adoré cette ville.,Chicago,chicago,"Chicago est une grande ville située dans l'État de l'Illinois aux États-Unis, connue pour son architecture impressionnante et sa riche histoire culturelle.","Nom propre de la ville américaine, d'origine algonquine (shikaakwa, oignon sauvage).",passé composé
chien,Mon _____ aime jouer au parc tous les jours.,chien,chien,"Animal domestique à quatre pattes, fidèle compagnon de l'homme. Le chien aboie et peut être dressé pour diverses tâches.","From Latin canis, from Proto-Indo-European *kwon-.",présent
chiffre,Le directeur a analysé les _____ de ventes du trimestre dernier.,chiffres,chiffre,"Un chiffre est un nombre ou un symbole numérique utilisé pour représenter une quantité. En contexte commercial, les chiffres désignent souvent les résultats ou les statistiques financières.","Du latin cifra, emprunté à l'arabe ṣifr (صفر) signifiant « zéro ».",passé composé
chinois,Ma mère prépare un excellent repas _____.,chinois,chinois,"Qui appartient à la Chine, à sa culture, sa langue ou son peuple. Peut désigner aussi la langue parlée en Chine ou un plat cuisiné selon les traditions chinoises.","Du latin « Sinensis », lui-même dérivé du nom chinois « Qin » (秦), la première dynastie impériale de Chine.",présent
choc,Le _____ entre les deux voitures a été très violent.,choc,choc,Collision ou heurt entre deux objets ou deux personnes. Peut aussi désigner une réaction émotionnelle intense provoquée par un événement inattendu.,"From English ""shock"", itself from Old Dutch ""schok""",passé composé
chocolat,Ma mère adore boire une tasse de _____ chaud le matin.,chocolat,chocolat,"Produit alimentaire sucré fait à partir de cacao, de sucre et souvent de lait. On peut le consommer sous forme solide, liquide ou en poudre.","From Spanish chocolate, from Nahuatl xocolatl (xoco- 'sour' + atl 'water').",présent
choisir,Elle _____ une robe bleue pour la fête de samedi.,a choisi,choisir,Sélectionner ou décider entre plusieurs options. C'est l'action de prendre une décision en faveur d'une personne ou d'une chose.,"Du frankique (germanique) *kausjan (goûter, tester, choisir). Le verbe a été emprunté au germanique par le français ancien.",passé composé
choix,Elle a dû faire un _____ difficile entre deux universités.,choix,choix,Action de sélectionner une ou plusieurs choses parmi plusieurs possibilités. C'est la décision qu'on prend quand on préfère une option à une autre.,"From Old French choisir, from Frankish *kausjan, related to Old High German kiosan 'to choose'.",passé composé
chou,Ma mère prépare un délicieux _____ farci pour le dîner de ce soir.,chou,chou,Légume vert ou blanc composé de feuilles serrées les unes contre les autres. On peut le manger cru en salade ou cuit de diverses façons.,"Du latin caulis, signifiant tige ou chou.",présent
chouette,Ma sœur a vu une _____ dans l'arbre près de la maison hier soir.,chouette,chouette,"Oiseau nocturne rapace avec de grands yeux ronds et une tête plate, connu pour son cri caractéristique. C'est un prédateur qui chasse principalement la nuit.","Du latin tardif *cavitta, du latin classique cavea (cage, creux), en référence à ses grands yeux creux.",passé composé
chut,"Les enfants jouaient bruyamment, alors leur mère a dit _____ pour qu'ils se taisent.",chut,chut,Interjection utilisée pour demander le silence ou pour faire taire quelqu'un. C'est un bruit que l'on produit en soufflant pour signaler qu'il faut être calme.,Onomatopée imitant le bruit du souffle; origine obscure mais probablement imitative.,passé composé
chute,L'enfant a eu peur après sa _____ du vélo.,chute,chute,"Action de tomber d'une certaine hauteur ou de perdre l'équilibre. C'est aussi le résultat de cette action, comme une blessure ou un dommage.","Du latin caduta, féminin du participe passé de cadere (tomber).",passé composé
château,Le roi a visité le _____ de Versailles avec toute sa famille.,château,château,"Un édifice fortifié de grande taille, résidence seigneuriale ou royale, souvent situé en zone élevée ou entouré de fortifications. C'est un monument historique d'importance architecturale et culturelle.","Du latin « castellum » (forteresse, petit camp fortifié), diminutif de « castrum » (camp, forteresse).",passé composé
chèque,J'ai payé la facture avec un _____.,chèque,chèque,"Un chèque est un document bancaire qui permet de payer une somme d'argent sans utiliser d'espèces. On le remplit avec le montant et le bénéficiaire, puis on le signe.","De l'ancien français ""eschec"", via l'anglais ""check"". Le mot vient du persan ""šāh"" (roi), par le jeu d'échecs. Le sens financier s'est développé à partir de l'idée de contrôle.",passé composé
chéri,Ma grand-mère appelle toujours son petit-fils _____ quand il lui rend visite.,chéri,chéri,Terme d'affection utilisé pour désigner une personne aimée ou précieuse. C'est un mot tendre qui exprime l'amour et l'attachement.,"Du verbe « chérir » (du latin « carus » signifiant « cher, précieux »), transformé en adjectif ou substantif pour désigner quelqu'un de précieux.",présent
cible,L'entreprise a défini sa _____ principale pour cette année.,cible,cible,Une cible est un objectif ou un groupe de personnes que l'on cherche à atteindre. C'est aussi l'objet ou la personne vers laquelle on dirige une action.,"Du latin 'cipolla' (oignon), devenu 'cibola' en espagnol, puis emprunté au français avec le sens de « disque qu'on vise ».",passé composé
ciel,"Le matin, ma grand-mère regarde toujours le _____ pour savoir quel temps il fera.",ciel,ciel,L'espace bleu ou gris au-dessus de nos têtes où se trouvent les nuages et les étoiles. C'est l'atmosphère qui entoure la Terre.,"Du latin caelum, signifiant « voûte céleste, espace au-dessus de la terre ».",présent
cigarette,Mon grand-père fumait une _____ chaque matin avant son café.,cigarette,cigarette,"Un petit rouleau de tabac enrobé de papier fin, destiné à être fumé. C'est un produit du tabac couramment consommé.","From Spanish 'cigarrillo', diminutive of 'cigarro', possibly from Mayan 'sicar' (to smoke).",imparfait
cinéma,"Hier soir, nous sommes allés au _____ pour regarder un film d'action.",cinéma,cinéma,Lieu public où l'on projette des films sur un grand écran. C'est un établissement de divertissement destiné aux spectateurs.,"Du grec ancien κίνημα (kínêma, « mouvement »), influencé par le mot français « cinématographe » inventé par les frères Lumière.",passé composé
circonstance,"Dans ces _____, il a décidé de partir en vacances.",circonstances,circonstance,"Une circonstance est un fait, une situation ou un événement qui accompagne ou influence un acte ou un état. C'est une condition particulière qui caractérise un moment ou une action.","Du latin « circumstantia », composé de « circum » (autour) et « stantia » (état de se tenir), signifiant littéralement « ce qui se tient autour ».",passé composé
ville,Marie habite dans une grande _____ au centre de la France.,ville,ville,"Une ville est une agglomération urbaine de taille importante, avec de nombreux habitants, des bâtiments, des commerces et des services. C'est un centre de population plus grand qu'un village.","Du latin ""civitas"" (citoyenneté, état, cité), de ""civis"" (citoyen).",présent
clair,"Le ciel est très _____ aujourd'hui, sans nuages.",clair,clair,"Qui laisse passer la lumière facilement; transparent ou lumineux. Qui est facile à comprendre, évident.","Du latin classicus, passant par le latin vulgaire clarus (brillant, transparent).",présent
clairement,Elle a expliqué _____ pourquoi elle ne pouvait pas venir à la réunion.,clairement,clairement,"De manière claire, évidente et facile à comprendre. Adverbe qui modifie un verbe pour indiquer que l'action est effectuée de façon transparente et sans ambiguïté.","Du latin ""clarus"" (clair, brillant), auquel s'ajoute le suffixe adverbial latin ""-mente"" (qui devient ""-ment"" en français).",passé composé
classe,Ma fille va aller en _____ demain pour la première fois.,classe,classe,"Un groupe d'élèves qui reçoivent un enseignement ensemble dans une école. C'est aussi le lieu, la salle où se déroule cet enseignement.","Du latin classicus, signifiant « de première ordre » ou « qui appartient aux classes romaines ».",futur proche
classique,La musique _____ de Mozart reste très populaire auprès des mélomanes.,classique,classique,Qui appartient à l'Antiquité gréco-romaine ou qui suit les principes traditionnels d'harmonie et de forme. Se dit aussi de ce qui est reconnu comme un modèle d'excellence dans son domaine.,"Du latin classicus (de première classe), dérivé de classis (classe, division du peuple romain).",présent
client,Le _____ attend son tour à la caisse du magasin.,client,client,Une personne qui achète des biens ou des services auprès d'un commerçant ou d'une entreprise. C'est celui qui consomme ou utilise ce qui est vendu.,"Du latin « cliens », qui désignait dans la Rome antique une personne placée sous la protection d'un patron; le sens s'est transformé pour désigner une personne qui achète.",présent
clinique,Ma mère travaille dans une _____ depuis dix ans.,clinique,clinique,"Un établissement de santé où l'on soigne les malades, généralement plus petit qu'un hôpital. Une clinique peut être spécialisée dans certains domaines médicaux.","Du grec ancien κλίνη (klinē, « lit »), par le latin clinica, signifiant littéralement « relatif au lit ».",présent
cloche,La _____ de l'église sonne chaque dimanche matin.,cloche,cloche,Objet en métal de forme ronde et creuse qui produit un son quand on la frappe. Elle est souvent utilisée pour annoncer l'heure ou appeler les fidèles.,"Du latin ecclésiastique *clocca*, d'origine probablement celtique ou imitative du son.",présent
club,Mon frère va rejoindre un _____ de football ce mois-ci.,club,club,"Une association ou organisation de personnes qui partagent un intérêt commun. Un club peut être sportif, social, culturel ou autre.","Emprunté de l'anglais « club », lui-même probablement d'origine germanique (du vieil anglais « clubbe », signifiant « gourdin » ou « masse »).",futur proche
clé,La _____ de ma maison a disparu et je ne peux pas entrer.,clé,clé,Objet métallique qui sert à ouvrir ou fermer une serrure. C'est un instrument indispensable pour accéder à un lieu fermé.,"Du latin populaire clave, dérivé du latin classique clavis (clou, clé).",présent
coach,Notre équipe de football a besoin d'un bon _____ pour améliorer nos performances.,coach,coach,Un coach est un entraîneur qui guide et prépare une équipe ou une personne dans le sport ou le développement personnel. Il donne des conseils et des instructions pour atteindre des objectifs.,"From English 'coach', itself from the town of Kocs in Hungary, via French adoption in the 20th century.",présent
cochon,Mon oncle élève des _____ à la ferme depuis vingt ans.,cochons,cochon,"Animal domestique de la famille des suidés, élevé pour sa viande et ses autres produits. C'est un mammifère omnivore reconnaissable à son groin et sa queue en tire-bouchon.","Du latin cocchinus, probablement d'origine onomatopéique ou liée à des langues celtes.",présent
code,"Pour entrer dans le bâtiment, tu dois taper le _____ sur le clavier.",code,code,Suite de caractères ou de chiffres servant à identifier ou à donner accès à quelque chose. Système de règles ou de conventions établies.,"De l'ancien français ""code"", du latin ""codex"" (tablette de bois, livre).",présent
coeur,Elle a écouté la musique avec tout son _____.,cœur,coeur,"Organe vital qui pompe le sang dans le corps. Au figuré, siège des émotions et des sentiments.","Du latin cor, cordis, apparenté au grec kardia (καρδία). La forme française vient de l'accusatif latin cor(d)em.",passé composé
coffre,Elle a ouvert le _____ pour chercher ses documents importants.,coffre,coffre,"Un meuble ou une structure fermée et sécurisée, souvent utilisé pour ranger des objets de valeur ou des documents précieux. C'est généralement un conteneur robuste avec un système de fermeture.","Du latin « coffinus », emprunté au grec « kophinos » (panier, corbeille).",passé composé
coin,Ma grand-mère aime s'asseoir dans le _____ du salon pour lire son journal.,coin,coin,Un espace ou une surface formée par la rencontre de deux lignes ou de deux plans. C'est aussi une région ou un petit endroit d'un lieu.,"Du latin cuneus (coin, wedge), apparenté au français cunéiforme.",présent
coincé,Ma voiture _____ dans le garage depuis trois jours.,est coincée,coincé,"Bloqué, immobilisé ou serré dans un espace étroit d'où on ne peut pas s'échapper facilement. Le mot décrit une situation où quelque chose ou quelqu'un est prisonnier d'une position difficile.","Du verbe coincer, issu du latin populaire *cuneare, dérivé de cuneus (coin, wedge). Le sens de « bloquer » s'est développé à partir de l'image physique d'enfoncer un coin.",passé composé
colle,Ma mère _____ les photos sur l'album avec du papier spécial.,colle,colle,Substance adhésive utilisée pour attacher ou fixer deux surfaces ensemble. Le verbe 'coller' signifie appliquer de la colle ou faire adhérer quelque chose.,"Du latin 'colla', dérivé du grec 'kolla', signifiant 'colle' ou 'glue'.",présent
collier,Ma grand-mère porte un magnifique _____ en or autour de son cou.,collier,collier,"Bijou porté autour du cou, composé généralement d'une chaîne ou d'un cordon auquel peuvent être attachées des pierres précieuses ou d'autres ornements. C'est un accessoire de parure très courant.","Du latin 'collarium', dérivé de 'collum' signifiant 'cou'.",présent
collègue,Ma _____ travaille dans le même bureau que moi depuis trois ans.,collègue,collègue,Une personne qui partage le même lieu de travail ou la même profession qu'une autre. C'est un compagnon professionnel avec lequel on collabore.,"Du latin collega, composé de col- (cum, avec) et legere (choisir, désigner).",présent
colonel,Le _____ a commandé ses troupes pendant la bataille.,colonel,colonel,"Un colonel est un officier militaire de haut rang, généralement à la tête d'un régiment. C'est un grade intermédiaire entre le major et le général.","From Spanish coronel, from Italian colonnello, diminutive of colonna (column), referring to the officer leading a column of soldiers.",passé composé
colère,Ma mère était en _____ quand j'ai cassé son vase préféré.,colère,colère,État émotionnel intense caractérisé par une forte irritation ou une vive irritabilité. C'est une réaction passagère face à une situation perçue comme injuste ou frustrante.,"Du latin « cholera » (vomissement biliaire), emprunté au grec « χολέρα » (kholera), dérivé de « χολή » (kholé, bile). Le mot s'est étendu du sens médical au sens émotionnel.",imparfait
combat,Les deux boxeurs _____ dans le ring avec beaucoup d'intensité.,combattent,combat,"Engager une lutte, une bataille ou une compétition contre un adversaire. Le verbe « combattre » signifie se battre physiquement ou figurer dans un conflit.","Du latin « combattere », composé de « com- » (avec) et « battere » (frapper).",présent
combattre,Les soldats _____ l'ennemi sur le champ de bataille.,vont combattre,combattre,Engager un combat contre quelqu'un ou quelque chose ; lutter activement contre un adversaire ou un problème.,"Du latin combattere, composé de com- (avec) et battere (frapper).",futur proche
combien,_____ de livres as-tu lus pendant les vacances?,Combien,combien,Adverbe interrogatif qui sert à demander la quantité ou le nombre de quelque chose. Il peut également être utilisé comme adjectif interrogatif pour préciser un nom.,"Du latin « quam multum » (combien, en quelle quantité), composé de « quam » (que, combien) et « multum » (beaucoup).",passé composé
comité,Le _____ de direction a décidé d'augmenter les salaires des employés.,comité,comité,Un groupe de personnes désignées pour discuter d'une question spécifique et prendre des décisions. C'est un organe collectif responsable de certaines tâches dans une organisation.,"Du latin médiéval 'comitatus', dérivé de 'comes' (comte), qui signifiait originellement la suite ou l'entourage d'un comte.",présent
commandant,Le _____ de la base militaire a donné des ordres à tous les soldats ce matin.,commandant,commandant,"Un officier militaire qui commande une unité, un navire ou une base. C'est aussi une personne qui a l'autorité et le pouvoir de diriger.","Du verbe « commander » (du latin « commandare », composé de « com- » et « mandare » signifiant « confier »), avec le suffixe nominal « -ant ».",présent
commande,Le client _____ trois pizzas pour le dîner de ce soir.,va commander,commande,Commande est l'action de demander un produit ou un service à un fournisseur ou un commerçant. C'est aussi le document ou l'instruction qui formalise cette demande.,"Du latin commandare, composé de com- (avec) et mandare (confier, ordonner).",futur proche
commencer,Nous _____ nos devoirs à 18 heures chaque jour.,commençons,commencer,"Débuter, entamer quelque chose. C'est l'action de faire ses premiers pas dans une activité.","Du latin vulgaire *cominitiare, composé de com- + initiare (commencer, débuter).",présent
commettre,Elle _____ une erreur grave lors de l'examen.,a commis,commettre,"Faire quelque chose de mal ou d'illégal ; accomplir un acte répréhensible. Exemple : commettre un crime, commettre une faute.","Du latin committere (com- + mittere), signifiant « mettre ensemble » ou « confier », puis « faire, accomplir ».",passé composé
commissaire,Le _____ de police a interrogé les témoins de l'accident hier matin.,commissaire,commissaire,Un commissaire est un officier de police de haut rang chargé de diriger un commissariat et de superviser les enquêtes criminelles. C'est une autorité publique responsable de l'ordre et de la sécurité dans sa juridiction.,"Du latin commissarius, dérivé de committere (confier, remettre).",présent
commun,Nous avons _____ des intérêts avec nos voisins et nous nous entendons bien.,des intérêts communs,commun,"Qui appartient à plusieurs personnes ou choses, qui est partagé. Qui est ordinaire, habituel, sans particularité.","Du latin communis, dérivé de cum (avec) et munis (service, charge), littéralement « qui a les mêmes charges ».",présent
communauté,La _____ locale s'engage à protéger l'environnement et à soutenir les projets sociaux.,communauté,communauté,"Un groupe de personnes vivant dans le même lieu ou partageant des intérêts, des valeurs ou des objectifs communs. C'est l'ensemble des individus formant une collectivité organisée.","Du latin communitas, dérivé de communis (commun).",présent
compagnie,Marie aime voyager en _____ avec ses amis plutôt que seule.,compagnie,compagnie,La compagnie est la présence d'une ou plusieurs personnes auprès de quelqu'un d'autre. C'est aussi une groupe de personnes réunies pour une activité commune.,"Du latin « companio » (celui qui partage le pain), composé de « com- » (avec) et « panis » (pain).",présent
complet,Le repas de famille était _____. Tout le monde était satisfait.,complet,complet,"Qui contient tous les éléments, qui n'est pas incomplet. Qui a atteint son accomplissement total.","Du latin completus, participe passé de complere (remplir, accomplir), composé de com- (avec) et plenus (plein).",imparfait
compliqué,Cette équation mathématique est vraiment _____.,compliquée,compliqué,"Qui est difficile à comprendre, à résoudre ou à expliquer; qui présente de nombreuses difficultés ou obstacles.","Du latin ""complicatus"", participe passé de ""complicare"" (plier ensemble), de ""com-"" (ensemble) et ""plicare"" (plier).",présent
complètement,Elle _____ oublié son rendez-vous chez le médecin hier.,a complètement,complètement,"De manière totale, sans exception, ou sans aucune réserve. Adverbe qui modifie un adjectif ou un verbe pour indiquer une action ou un état absolu.","Du latin completus (rempli, achevé), participe passé de complere (remplir, accomplir), formé de com- (avec) et plere (remplir).",passé composé
comportement,Le _____ de cet enfant à l'école s'est amélioré depuis le mois dernier.,comportement,comportement,Manière d'agir ou de se conduire d'une personne dans une situation donnée. C'est l'ensemble des réactions et des actions qu'une personne manifeste face à son environnement.,"Du latin comportare (com- + portare, porter ensemble), signifiant « supporter, endurer ».",passé composé
comprendre,Les étudiants _____ les instructions du professeur pendant la leçon.,comprennent,comprendre,"Saisir le sens, la signification de quelque chose. Avoir l'intelligence, la connaissance de quelque chose.",Latin comprehendere (com- « avec » + prehendere « saisir »),présent
compris,Les enfants _____ les instructions du professeur avant de commencer l'exercice.,ont compris,compris,Saisir le sens ou la signification de quelque chose. Avoir connaissance ou conscience de quelque chose.,"Du latin comprehendere, formé de com- (avec) et prehendere (saisir).",passé composé
compte,Elle _____ sur ses amis pour l'aider à organiser la fête.,compte,compte,Signifie faire confiance à quelqu'un ou dépendre de quelqu'un. Le verbe « compter » exprime une attente ou une dépendance envers une personne ou une chose.,"Du latin « computare » (calculer, énumérer), formé de « com- » (avec) et « putare » (considérer, penser).",présent
compter,Elle _____ partir en vacances la semaine prochaine avec sa famille.,va compter,compter,"Compter signifie énumérer des nombres successifs ou calculer une quantité. Dans ce contexte, cela peut aussi signifier « avoir l'intention » ou « prévoir ».","Du latin computāre, composé de com- (avec) et putāre (évaluer, penser).",futur proche
concentrer,Les étudiants _____ leur attention sur les explications du professeur pendant le cours.,concentrent,concentrer,Rassembler son attention ou ses efforts sur une seule chose. Diriger toute son énergie mentale vers un objectif précis.,"Du latin concentrare, composé de con- (ensemble) et centrare (mettre au centre), dérivé de centrum (centre).",présent
concerner,Les nouvelles mesures gouvernementales _____ principalement les petites entreprises.,concernent,concerner,Avoir rapport à quelque chose ou quelqu'un; être relatif à. Toucher ou affecter une personne ou une chose.,"Du latin concernere, composé de con- (avec) et cernere (cribler, discerner), littéralement « cribler ensemble ».",présent
concert,"Hier soir, nous avons écouté un _____ magnifique à la salle de spectacle.",concert,concert,Un spectacle musical où des musiciens ou des chanteurs se produisent devant un public. C'est un événement où on peut écouter de la musique en direct.,"Du latin « concertare » signifiant « mettre en accord, harmoniser ».",passé composé
concours,Elle a participé à un _____ de mathématiques l'année dernière.,concours,concours,Un concours est une compétition où plusieurs personnes participent pour remporter un prix ou une récompense. C'est aussi un examen sélectif destiné à recruter des candidats.,"Du latin concursus, participe passé de concurrere (courir ensemble), composé de con- (avec) et currere (courir).",passé composé
condamné,Le criminel a été _____ à dix ans de prison par le tribunal.,condamné,condamné,Déclaré coupable et puni par une autorité judiciaire. Le condamné est une personne reconnue coupable d'un crime ou d'un délit.,"Du latin condamnare, composé de com- (avec) et damnare (déclarer coupable, endommager).",passé composé
condition,"Pour obtenir ce visa, vous devez accepter les _____ du gouvernement.",conditions,condition,Une condition est une circonstance ou une exigence qui doit être remplie pour qu'quelque chose se produise ou soit accepté. C'est une clause ou un terme imposé comme nécessaire.,"Du latin « conditio » signifiant « arrangement, accord, état », dérivé de « condire » (combiner, établir).",présent
conduire,Ma mère _____ la voiture tous les jours pour aller au travail.,conduit,conduire,Conduire signifie diriger un véhicule motorisé sur la route. C'est aussi guider ou mener quelqu'un ou quelque chose vers une destination.,"Du latin conducere, composé de con- (avec) et ducere (mener, guider).",présent
conduite,La _____ de cette voiture est très sûre et fiable.,conduite,conduite,La manière de diriger un véhicule automobile. C'est aussi l'action de conduire ou le comportement d'une personne.,"Du latin conducta, participe passé féminin de conducere (mener, guider).",présent
confiance,Elle a perdu _____ en son ami après qu'il l'a trahie.,confiance,confiance,Sentiment de sécurité et de certitude envers quelqu'un ou quelque chose. C'est la croyance que l'on peut se fier à une personne ou à une situation.,"Du latin « confidentia », dérivé de « confidere » (cum- « avec » + fidere « se fier »).",passé composé
conférence,La ministre va donner une _____ sur les changements climatiques demain.,conférence,conférence,Une conférence est une réunion ou une présentation publique où un orateur expose ses idées ou ses recherches sur un sujet particulier. C'est aussi une discussion entre plusieurs personnes pour débattre d'une question importante.,"Du latin médiéval 'conferentia', dérivé de 'conferre' (mettre ensemble, confronter), composé de 'con-' (avec) et 'ferre' (porter).",futur proche
connaissance,Ma professeure a pris _____ de mes progrès en mathématiques.,connaissance,connaissance,Fait de connaître quelque chose ou quelqu'un ; information ou compétence acquise. C'est aussi l'action de savoir ou de comprendre.,"Du latin « cognoscentia », dérivé de « cognoscere » (connaître), composé de « co- » (avec) et « gnoscere » (connaître).",passé composé
connaître,Elle _____ le directeur de l'école depuis plusieurs années.,connaît,connaître,Avoir une connaissance de quelqu'un ou de quelque chose ; être au courant de l'existence ou des caractéristiques de quelque chose.,"Latin cognoscere (cum + noscere, 'apprendre à connaître')",présent
conscience,Elle a bonne _____ et elle aide toujours les personnes en difficulté.,conscience,conscience,Connaissance intuitive du bien et du mal qui guide nos actions morales. C'est la voix intérieure qui nous pousse à agir selon nos principes éthiques.,"Du latin ""conscientia"", composé de ""com-"" (avec) et ""scientia"" (science, connaissance), signifiant littéralement ""connaissance partagée avec soi-même"".",présent
conseil,Ma mère m'a donné un bon _____ avant mon examen important.,conseil,conseil,Un conseil est une opinion ou une suggestion donnée à quelqu'un pour l'aider à prendre une bonne décision. C'est aussi un groupe de personnes réunies pour délibérer ou gouverner.,"Du latin « consilium » (deliberation, assembly), dérivé de « consulere » (to consult, deliberate).",passé composé
conseiller,Mon père m' _____ d'étudier les mathématiques pour réussir mes examens.,a conseillé,conseiller,Conseiller signifie donner un avis ou une recommandation à quelqu'un pour l'aider à prendre une bonne décision. C'est offrir des suggestions basées sur l'expérience ou la sagesse.,"Du latin consiliarius, dérivé de consilium (conseil, délibération).",passé composé
construire,Les ouvriers _____ une nouvelle maison dans notre quartier.,construisent,construire,"Édifier, assembler des matériaux pour créer une structure, un bâtiment ou une infrastructure. Action de fabriquer quelque chose de manière progressive et structurée.","Latin construere, de com- (avec) + struere (arranger, édifier)",présent
contact,Je _____ mon ami demain pour discuter du projet.,vais contacter,contact,"Établir une communication avec quelqu'un, entrer en relation avec une personne. C'est l'action de prendre contact avec quelqu'un pour échanger des informations.","From Latin contactus, past participle of contingere (to touch, to reach), from con- (together) + tangere (to touch).",futur proche
contacter,"Demain, je _____ mon professeur pour lui poser une question importante.",vais contacter,contacter,"Établir une communication avec quelqu'un, généralement par téléphone, email ou en personne. C'est l'action de se mettre en relation avec une personne.","Du latin contactus, participe passé de contingere (toucher, être en contact), composé de con- (avec) et tangere (toucher).",futur proche
content,Ma mère est _____ de mon nouveau travail.,contente,content,"Le mot « content » signifie satisfait, heureux ou qui a obtenu ce qu'on désirait. C'est un adjectif qui exprime un état de satisfaction ou de plaisir.","Du latin « contentus », participe passé de « continere » (retenir, contenir), signifiant littéralement « tenu, contenu dans ».",présent
conter,Ma grand-mère _____ des histoires fascinantes à ses petits-enfants chaque dimanche.,conte,conter,"Conter signifie raconter une histoire ou un récit, généralement de manière narrative et souvent avec des détails intéressants. C'est l'acte de faire un conte ou une narration.","Du latin computāre (compter, énumérer), puis évolution sémantique vers « raconter ».",présent
continuer,Elle _____ ses études à l'université pendant trois ans avant de trouver un emploi.,a continué,continuer,"Poursuivre une action, une activité ou un processus sans interruption. Maintenir quelque chose en cours ou en progression.","Du latin continuare, formé de continere (tenir ensemble), de cum (avec) et tenere (tenir).",passé composé
contraire,"Elle pense que c'est vrai, mais c'est le _____.",contraire,contraire,"Ce qui s'oppose à quelque chose, ce qui est inverse ou opposé. Le contraire est la chose qui présente des caractéristiques opposées.","From Latin contrarius, from contra (against, opposite).",présent
contrat,Elle a signé un _____ avec sa nouvelle entreprise le mois dernier.,contrat,contrat,Un accord officiel entre deux ou plusieurs parties qui définit les droits et les obligations de chacun. C'est un document juridique qui engage les signataires à respecter les conditions convenues.,"Du latin contractus, participe passé de contrahere (« réunir, conclure »), composé de con- (« avec ») et trahere (« tirer, entraîner »).",passé composé
contre,Les joueurs de l'équipe A jouent _____ l'équipe B ce soir.,contre,contre,Préposition indiquant l'opposition ou l'hostilité entre deux éléments. Elle exprime aussi le contact ou la proximité immédiate.,"Du latin contra (en face de, contre).",présent
contrôle,Le professeur _____ les devoirs des étudiants chaque semaine.,contrôle,contrôle,"Vérifier, examiner ou surveiller quelque chose pour s'assurer qu'il est conforme ou correct. C'est aussi l'action de vérifier l'exactitude ou la qualité de quelque chose.","Du latin médiéval 'contrarotulus' (rôle ou registre de contre-vérification), composé de 'contra-' (contre) et 'rotulus' (rouleau, registre).",présent
contrôler,Les agents de police _____ les documents à l'entrée du musée.,contrôlent,contrôler,"Vérifier, examiner quelque chose ou quelqu'un pour s'assurer que tout est en ordre ou conforme aux règles. Exercer une autorité ou une surveillance sur une personne ou une situation.","Du latin médiéval « contrarotulus », composé de « contra » (contre) et « rotulus » (rouleau), désignant un registre de vérification.",présent
convaincre,Je dois _____ mon ami que c'est une bonne idée.,convaincre,convaincre,Amener quelqu'un à croire quelque chose ou à faire quelque chose en utilisant des arguments ou de la persuasion. C'est faire en sorte qu'une personne accepte une opinion ou une proposition.,"Du latin convincere, composé de con- (avec) et vincere (vaincre, surmonter).",présent
conversation,"Hier soir, nous avons eu une longue _____ avec nos amis sur la politique.",conversation,conversation,Échange de paroles entre deux ou plusieurs personnes. C'est une interaction verbale où l'on discute d'un sujet.,"Du latin conversatio, dérivé de conversari (vivre avec, fréquenter), composé de con- (avec) et versari (tourner, se tourner).",passé composé
cool,Ce film était vraiment _____.,cool,cool,"Adjectif invariable signifiant sympathique, agréable ou à la mode. Emprunté de l'anglais, il décrit quelque chose ou quelqu'un qui est attrayant ou impressionnant.","Emprunté de l'anglais « cool » (frais, calme), qui vient du moyen anglais « cole » et du vieil anglais « cōl ».",imparfait
copie,L'étudiant a remis sa _____ au professeur hier.,copie,copie,Une reproduction écrite d'un texte ou d'un document. C'est aussi le travail écrit d'un élève remis pour évaluation.,"Du latin « copia » signifiant « abondance, provision ».",passé composé
copine,"Ma _____ et moi, nous allons au cinéma ce soir.",copine,copine,"Une copine est une amie, une jeune fille ou une femme avec laquelle on entretient une relation amicale. C'est aussi le terme familier pour désigner une petite amie ou une compagne.","Du latin populaire *cuppana, diminutif de cuppa (coupe, compagnie), formé sur le modèle des mots en -ina. Le terme s'est développé en français médiéval pour signifier d'abord une compagne de table, puis une amie.",futur proche
corde,Le marin a attaché la _____ au poteau avant de partir en mer.,corde,corde,"Objet long et flexible, généralement en fibres tressées, utilisé pour attacher, tirer ou soutenir quelque chose. Elle est couramment utilisée dans les domaines nautiques, de construction ou de loisirs.","Du latin corda, pluriel de cordum (corde d'instrument de musique), lui-même du grec χορδή (khordḗ).",passé composé
